SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.62,-2.69646,"GPX_Bacillus-subtilis",-2.69646,-0.163936,-0.440655,-0,-1.60539,-13.3505,-10.4044,1.7819,-0.0401942,-29.7697,-23.755,6.47406
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.62,-2.56372,"GPX_Bacillus-subtilis",-2.56372,-0.27563,-0.350036,-0,-1.47907,-15.0077,-9.59432,1.7819,-0.0513525,-29.7586,-24.602,7.27803
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.62,-2.59891,"GPX_Bacillus-subtilis",-2.59891,-0.310264,-0.362237,-0,-1.67503,-14.8119,-8.43012,1.7819,-0.0281719,-29.75,-23.242,4.81586
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.63,-2.89544,"GPX_Bacillus-subtilis",-2.89544,-0.0873229,-0.507999,-0,-1.36361,-13.3913,-13.3088,1.7819,-0.052519,-29.7422,-26.7002,13.6898
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.63,-2.75391,"GPX_Bacillus-subtilis",-2.75391,-0.246471,-0.417497,-0,-1.52779,-13.5567,-10.8521,1.7819,-0.0384044,-29.6997,-24.4088,8.2711
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.64,-2.78339,"GPX_Bacillus-subtilis",-2.78339,-0.13134,-0.535064,-0,-1.51184,-11.342,-11.8441,1.7819,-0.0433315,-29.6723,-23.1861,6.12546
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.64,-2.6416,"GPX_Bacillus-subtilis",-2.6416,-0.219648,-0.479555,-0,-1.43751,-12.3233,-10.8703,1.7819,-0.0400817,-29.5765,-23.1935,5.35296
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.65,-2.76903,"GPX_Bacillus-subtilis",-2.76903,-0.154377,-0.511324,-0,-1.60522,-14.7424,-10.0346,1.7819,-0.0376959,-29.3791,-24.777,9.75037
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.65,-2.68414,"GPX_Bacillus-subtilis",-2.68414,-0.00163145,-0.616889,-0,-1.40081,-13.4118,-11.5104,1.7819,-0.0495632,-29.3654,-24.9223,9.53286
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,24.65,-2.41479,"GPX_Bacillus-subtilis",-2.41479,-0.161138,-0.276232,-0,-1.55769,-14.8644,-9.42762,1.7819,-0.0442644,-29.3262,-24.292,6.50234
