SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.01,-3.32928,"GPX_Gossypium-hirsutum",-3.32928,-0.190064,-0.938919,-0,-1.4173,-12.397,-12.4949,1.7819,-0.0708196,-34.4358,-24.8918,4.92898
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.01,-2.99766,"GPX_Gossypium-hirsutum",-2.99766,-0.0819092,-0.654579,-0,-1.56852,-13.199,-11.6763,1.7819,-0.063151,-33.9435,-24.8753,3.48661
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.02,-3.07404,"GPX_Gossypium-hirsutum",-3.07404,-0.165416,-0.63709,-0,-1.49947,-13.2263,-12.1185,1.7819,-0.0748681,-33.94,-25.3449,4.96439
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.02,-3.84883,"GPX_Gossypium-hirsutum",-3.84883,-0.179808,-1.09137,-0,-1.36217,-12.3328,-15.251,1.7819,-0.0930869,-33.9174,-27.5839,15.0956
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.02,-2.89944,"GPX_Gossypium-hirsutum",-2.89944,-0.113941,-0.64314,-0,-1.52097,-14.0706,-10.8546,1.7819,-0.0715611,-33.891,-24.9252,2.96787
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.02,-2.87843,"GPX_Gossypium-hirsutum",-2.87843,0,-0.719868,-0,-1.3946,-14.8825,-11.465,1.7819,-0.0819792,-33.8316,-26.3476,5.79635
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.02,-3.41812,"GPX_Gossypium-hirsutum",-3.41812,-0.155256,-1.0339,-0,-1.43648,-13.0217,-12.3346,1.7819,-0.0731122,-33.8121,-25.3562,7.69836
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.03,-3.28011,"GPX_Gossypium-hirsutum",-3.28011,-0.192699,-0.927584,-0,-1.36932,-10.9244,-13.0765,1.7819,-0.0647073,-33.8047,-24.0009,4.05462
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.03,-3.17982,"GPX_Gossypium-hirsutum",-3.17982,-0.21078,-0.935566,-0,-1.42346,-13.4845,-11.0195,1.7819,-0.064769,-33.7242,-24.504,4.49557
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.03,-3.22619,"GPX_Gossypium-hirsutum",-3.22619,-0.192399,-0.945428,-0,-1.4006,-11.0339,-12.3187,1.7819,-0.0701584,-33.4984,-23.3526,2.98155
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.03,-3.60089,"GPX_Gossypium-hirsutum",-3.60089,-0.185496,-0.899669,-0,-1.45108,-13.4207,-14.1126,1.7819,-0.0586201,-33.4376,-27.5333,14.1642
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.04,-3.34552,"GPX_Gossypium-hirsutum",-3.34552,-0.163946,-1.05602,-0,-1.37607,-9.82282,-13.1501,1.7819,-0.0677362,-33.1402,-22.9729,3.79674
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.04,-3.46037,"GPX_Gossypium-hirsutum",-3.46037,-0.203337,-1.14386,-0,-1.34431,-11.2237,-12.7024,1.7819,-0.0842218,-33.0692,-23.9261,6.67538
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.04,-2.88739,"GPX_Gossypium-hirsutum",-2.88739,-0.363274,-0.310144,-0,-1.74919,-18.0194,-8.68931,1.7819,-0.0423234,-32.862,-26.7087,8.5225
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.04,-2.66893,"GPX_Gossypium-hirsutum",-2.66893,-0.475132,-0.356122,-0,-1.57461,-15.7341,-8.10314,1.7819,-0.0427992,-32.812,-23.8372,1.30365
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.05,-3.43127,"GPX_Gossypium-hirsutum",-3.43127,-0.214726,-0.838915,-0,-1.45831,-14.7967,-12.5537,1.7819,-0.0783371,-32.7586,-27.3504,13.9362
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.05,-3.28147,"GPX_Gossypium-hirsutum",-3.28147,-0.14779,-0.982143,-0,-1.44403,-15.0749,-10.8029,1.7819,-0.115223,-32.6467,-25.8778,10.1284
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.05,-3.3787,"GPX_Gossypium-hirsutum",-3.3787,-0.241951,-1.01463,-0,-1.34723,-11.6174,-12.6092,1.7819,-0.0845384,-32.6079,-24.2266,7.61056
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.05,-3.228,"GPX_Gossypium-hirsutum",-3.228,-0.143239,-0.985224,-0,-1.37015,-10.4458,-12.8187,1.7819,-0.066185,-32.3611,-23.2645,5.08891
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.05,-3.32935,"GPX_Gossypium-hirsutum",-3.32935,-0.232377,-0.729733,-0,-1.46382,-13.6817,-12.8832,1.7819,-0.06876,-32.2461,-26.5648,12.6547
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.06,-2.91067,"GPX_Gossypium-hirsutum",-2.91067,-0.24319,-0.671409,-0,-1.42808,-14.7567,-10.3507,1.7819,-0.0594391,-32.2411,-25.1075,6.72977
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.06,-3.12153,"GPX_Gossypium-hirsutum",-3.12153,-0.118439,-0.703385,-0,-1.3997,-13.3396,-12.8618,1.7819,-0.0856598,-32.2041,-26.2015,10.4994
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.06,-3.26064,"GPX_Gossypium-hirsutum",-3.26064,-0.178405,-1.00648,-0,-1.3981,-12.0161,-11.9042,1.7819,-0.0731213,-32.0529,-23.9202,7.25635
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.07,-2.87177,"GPX_Gossypium-hirsutum",-2.87177,-0.0649182,-0.751419,-0,-1.55565,-12.0581,-10.64,1.7819,-0.0827749,-31.6105,-22.6981,2.89133
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.07,-3.22667,"GPX_Gossypium-hirsutum",-3.22667,-0.191702,-0.94249,-0,-1.40188,-11.0307,-12.3388,1.7819,-0.070145,-31.5372,-23.3695,6.94112
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-],"",1,Done,30.07,-2.99304,"GPX_Gossypium-hirsutum",-2.99304,-0.107595,-0.687682,-0,-1.46949,-14.5572,-11.1322,1.7819,-0.112483,-31.3078,-25.6894,10.341
